listing_id,host_id,location_id,room_type_id,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
4435766,23025661,6058,2,300,3,0,0,0
4436185,3708965,6059,2,60,1,0,0,0
4436944,21841949,6060,1,150,7,21,0.54,292
4437053,23030943,6061,1,105,1,102,1.79,362
4438029,974868,6062,2,360,3,28,0.5,128
4438223,22606202,6063,1,165,2,6,0.12,363
4438459,4967319,6064,2,325,2,19,0.34,0
4438470,3289567,6065,1,105,2,9,0.19,191
4438931,1405374,6066,1,57,4,0,0,4
4439602,14612223,6067,1,100,6,10,0.61,200
4439839,23044811,6068,2,129,2,179,3.14,285
4440020,195137,6069,2,229,5,38,0.75,332
4440181,23046908,6070,1,64,1,14,0.28,0
4440611,14546480,6071,2,100,3,4,0.08,0
4440751,3716641,6072,2,99,30,21,0.38,52
4444204,5162192,6073,2,300,30,4,0.07,310
4445185,7351,6074,1,84,2,11,0.2,87
4446178,946323,6075,2,125,3,6,0.11,0
4446862,23077718,6076,1,50,1,0,0,0
4447524,9685363,6077,2,200,2,9,0.16,0
4447611,10471097,6078,2,350,1,0,0,0
4447904,23083111,6079,2,80,30,5,0.09,180
4449058,23089516,6080,1,180,1,26,0.47,0
4449559,23092836,6081,2,105,30,18,0.48,52
4449611,16761703,6082,2,200,7,0,0,0
4450020,23095202,6083,2,100,2,1,0.11,363
4452723,2050338,6084,2,90,30,11,0.2,189
4453233,5827529,6085,2,160,1,8,0.14,0
4453484,2166065,6086,2,250,2,103,1.87,315
4454122,1390414,6087,2,115,2,84,1.51,50
4454400,454009,6088,2,250,2,0,0,0
4454538,22552201,6089,2,130,5,9,0.16,0
4455094,13541655,6090,1,159,2,150,3.19,54
4455301,8490286,6091,2,110,3,189,3.4,268
4456004,1171707,6092,1,60,3,4,0.09,0
4456312,3551179,6093,1,57,3,20,0.43,311
4456555,747671,6094,2,180,1,7,0.12,0
4456880,21641206,6095,2,250,1,4,0.07,165
4457556,22904933,6096,1,92,3,48,0.94,115
4460838,14758012,6097,2,195,3,66,1.24,0
